event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SAF18818,"31 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","EFF: Economic Freedom Fighters",6,,,0,60,,710,"Southern Africa","South Africa","Free State",Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,EWN,National,"On 31 March 2023, about 300 EFF members held a demonstration outside the Mangaung Correctional Center in Bloemfontein (Mangaung, Free State), demanding the termination of the prison's contract with security company, G4S, and calling for the resignation of Justice and Correctional Services Minister. The demonstrators argued that the prison's director had lost control of the facility after a suspected rapist escaped in May 2022.",0,"crowd size=about 300",1680542328
SAF18829,"31 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Mpumalanga,Ehlanzeni,"City of Mbombela",Mbombela,-25.4667,30.9667,1,"Laevelder Lowvelder",Subnational,"On 31 March 2023, ward 18 residents marched to the Mbombela Civic Center (City of Mbombela, Ehlanzeni, Mpumalanga), calling for jobs and equality in the community.",0,"crowd size=no report",1680542328
SAF18833,"31 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","LGBTQ+ (South Africa); Triangle Project; #UniteBehind",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"GroundUp; SABC News",National,"On 31 March 2023, about 100 members of the LGBTQ+ community marched to Parliament in Cape Town (City of Cape Town, Western Cape), appealing to President Ramaphosa to take action and dissuade Ugandan President Museveni from approving a new bill that would make homosexuality a punishable offense. Desmond Tutu Health Foundation, Safe Place International, Triangle Project, Pachedu, Gender Dynamics, and #UniteBehind joined the protest.",0,"crowd size=about 100",1680542328
SAF18834,"31 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","NEHAWU: National Education, Health and Allied Workers Union; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape",Eden,George,George,-33.9667,22.45,1,"George Herald (South Africa)",Subnational,"On 31 March 2023, NEHAWU members picketed outside the Department of Transport and Public Works in George (George, Eden, Western Cape), demanding fair recruitment and selection processes that include black contractors. Protesters accused the department's management of nepotism and racism.",0,"crowd size=no report",1680542328
SAF18863,"31 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa","Western Cape",Overberg,Theewaterskloof,Villiersdorp,-33.9912,19.2922,1,EWN,National,"On 31 March 2023, over 250 protesters gathered outside the municipal offices in Villiersdorp (Theewaterskloof, Overberg, Western Cape), demanding to be assigned homes from an ongoing housing initiative.",0,"crowd size=over 250",1680542328
SAF18827,"30 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa); NUPSAW: National Union of Public Service and Allied Workers; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg",Johannesburg,-26.2023,28.0436,1,"Daily News (South Africa)",National,"On 30 March 2023, for the fourth day, scores of former municipality health workers camped outside the health department's office during a demonstration in Johannesburg (City of Johannesburg, Gauteng), demanding permanent employment. NUPSAW organized the protest.",0,"crowd size=scores",1680542328
SAF18828,"30 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,"Daily News (South Africa)",National,"On 30 March 2023, RCL Foods employees marched to the company's headquarters in Westville (eThekwini, KwaZulu-Natal), demanding the payment of their share incentives.",0,"crowd size=no report",1680542328
SAF18830,"30 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); NEHAWU: National Education, Health and Allied Workers Union",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"Daily News (South Africa)",National,"On 30 March 2023, staff from the Cape Town Magistrate's and regional courts staged a protest in Cape Town (City of Cape Town, Western Cape), accusing magistrates and prosecutors of abusing their power against court employees. NEHAWU joined the protest.",0,"crowd size=no report",1680542328
SAF18832,"30 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SWEAT: Sex Workers Education and Advocacy Taskforce; Asijiki Coalition; Sisonke",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,GroundUp,National,"On 30 March 2023, over 100 sex workers marched to the offices of the Department of Justice and Constitutional Development in Cape Town (City of Cape Town, Western Cape), advocating for the full decriminalization of sex work. SWEAT, Asijiki Coalition, and Sisonke National Sex Workers Movement joined the protest.",0,"crowd size=over 100",1680542328
SAF18864,"30 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (South Africa)","Students (South Africa)",5,,,0,50,,710,"Southern Africa","South Africa",KwaZulu-Natal,Umgungundlovu,"The Msunduzi",Pietermaritzburg,-29.6167,30.3833,1,"Citizen (South Africa)",National,"On 30 March 2023, Durban University of Technology students barricaded the university's entrance with burning tires and broken bottles in Pietermaritzburg (The Msunduzi, Umgungundlovu, KwaZulu-Natal), demanding meal and residence allowances.",0,"crowd size=no report",1680542328
SAF18816,"29 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (South Africa)","ANC: African National Congress",5,"Rioters (South Africa)","DA: Democratic Alliance",5,55,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"News24 (South Africa)",National,"On 29 March 2023, a physical altercation (means unspecified) occurred between ANC and DA members during a City of Cape Town council meeting (City of Cape Town, Western Cape). The incident happened after opposition parties requested a legal opinion on a disciplinary committee report investigating allegations of meter-tampering against a DA councilor. ANC members threw water bottles at DA members and poured water on each other. No injuries were reported.",0,"crowd size=no report",1680542328
SAF18821,"29 March 2023",2023,2,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","EFFSC: Economic Freedom Fighters Students Command; Students (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"Daily News (South Africa)",National,"Around 29 March 2023 (as reported), over 150 CPUT students led by EEFSC marched to the National Student Financial Aid Scheme (NSFAS) offices in Cape Town (City of Cape Town, Western Cape), demanding increased funding for all eligible students.",0,"crowd size=over 150",1680542328
SAF18823,"29 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa); Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Atteridgeville,-25.7728,28.0678,1,"Daily News (South Africa)",National,"On 29 March 2023, coronavirus support staff (professional nurses, general assistants, data capturers and cleaners) staged a protest inside the Kalafong Hospital in Atteridgeville (City of Tshwane, Gauteng), demanding permanent employment.",0,"crowd size=no report",1680542328
